Model,Accuracy,Precision,Recall,F1,Runtime_sec
Baseline TF-IDF + Logistic Regression,0.9748878923766816,0.8853503184713376,0.9328859060402684,0.9084967320261438,0.2355489730834961
Frozen DistilBERT + Logistic Regression,0.9874439461883409,0.9470198675496688,0.959731543624161,0.9533333333333334,101.3759777545929
Fine-Tuned DistilBERT,0.9910313901345291,0.9727891156462585,0.959731543624161,0.9662162162162162,1613.3304297924042
